Query de Busqueda;ID;Titulo del producto;Precio;Cantidad disponible;Condicion;Link al item;Estado;Garantia;Direccion vendedor
notebook apple;MLA842091918;Top Case Macbook Pro Retina 13  Nuevo.-;2000;1;new;https://articulo.mercadolibre.com.ar/MLA-842091918-top-case-macbook-pro-retina-13-nuevo--_JM;active;;
notebook apple;MLA1278251583;Apple Macbook Pro M2 13,3. 8gb, Ssd256 Nueva En Caja Cerrada;539449;1;new;https://articulo.mercadolibre.com.ar/MLA-1278251583-apple-macbook-pro-m2-133-8gb-ssd256-nueva-en-caja-cerrada-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1278534072;Macbook Pro 13 Intel Core I5 2.3ghz 8gb 128gbssd A1708 2016;250000;1;used;https://articulo.mercadolibre.com.ar/MLA-1278534072-macbook-pro-13-intel-core-i5-23ghz-8gb-128gbssd-a1708-2016-_JM;active;Sin garantía;
notebook apple;MLA1313297431;Macbook White 2009 480 Gb + Cargador Original;79999;1;new;https://articulo.mercadolibre.com.ar/MLA-1313297431-macbook-white-2009-480-gb-cargador-original-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1150190281;Macbook Pro;105000;1;new;https://articulo.mercadolibre.com.ar/MLA-1150190281-macbook-pro-_JM;active;Garantía del vendedor: 90 días;
notebook apple;MLA896489308;Aplle 13.3 Mc Book Pro Whith Retina Displey 202p;330000;1;new;https://articulo.mercadolibre.com.ar/MLA-896489308-aplle-133-mc-book-pro-whith-retina-displey-202p-_JM;active;Sin garantía;
notebook apple;MLA1211414988;Apple Macbook Air Hot Sale! (13'' - 256 Gb - 8 Gb Ram) ;390000;1;new;https://articulo.mercadolibre.com.ar/MLA-1211414988-apple-macbook-air-hot-sale-13-256-gb-8-gb-ram-_JM;active;Garantía de fábrica: 6 meses;
notebook apple;MLA1114922937;Apple Macbook Pro 14'' Chip M1 Pro 10 Core 16gb Ram 1 Tb Ssd;899999.1;1;new;https://articulo.mercadolibre.com.ar/MLA-1114922937-apple-macbook-pro-14-chip-m1-pro-10-core-16gb-ram-1-tb-ssd-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1132520073;Macbook Pro ;75000;1;new;https://articulo.mercadolibre.com.ar/MLA-1132520073-macbook-pro-_JM;active;Garantía del vendedor: 1 meses;
notebook apple;MLA1219447922;Macbook Pro A1502 13.3 , Intel Core I5 5257u  8gb De Ram 256gb Ssd, Intel Hd Graphics 6100 60 Hz 2560x1600px Macos;240000;1;new;https://articulo.mercadolibre.com.ar/MLA-1219447922-macbook-pro-a1502-133-intel-core-i5-5257u-8gb-de-ram-256gb-ssd-intel-hd-graphics-6100-60-hz-2560x1600px-macos-_JM;active;Garantía del vendedor: 1 meses;
